t,theta_e_mrad,locked
0.0,45.391015323858646,False
0.03333333333333333,12.331068612849473,False
0.06666666666666667,7.802189709970935,False
0.1,4.3446099898945985,False
0.13333333333333333,3.4582698013116717,False
0.16666666666666666,4.9669328052222825,False
0.19999999999999998,4.09995745436037,False
0.2333333333333333,3.802679818975186,False
0.26666666666666666,4.687229444744492,False
0.3,5.359514685673253,False
0.3333333333333333,4.925908313828488,False
0.36666666666666664,4.08319115889457,False
0.39999999999999997,4.209869084484043,False
0.4333333333333333,4.206517547325296,False
0.4666666666666666,3.7952330990432457,False
0.49999999999999994,3.6221656464642233,False
0.5333333333333333,4.0705405699661625,False
0.5666666666666667,4.040107533426481,False
0.6,3.698938935347765,False
0.6333333333333333,3.7321706220613513,False
0.6666666666666666,3.8865922260877293,False
0.7,3.4233327814490324,False
0.7333333333333333,2.936970600617059,False
0.7666666666666666,3.049164615652345,False
0.7999999999999999,2.9802170436503803,False
0.8333333333333333,2.862473581831085,False
0.8666666666666666,2.9175245109484718,False
0.8999999999999999,3.0607117355815188,False
0.9333333333333332,2.9881583491228896,False
0.9666666666666666,3.086607217056945,False
0.9999999999999999,3.1120710073338294,False
1.0333333333333332,2.9705292560449417,False
1.0666666666666667,2.767899617044656,False
1.1,2.6390556751585614,False
1.1333333333333335,2.2611347024200343,False
1.166666666666667,2.1790589917205843,False
1.2000000000000004,1.831008012675787,True
1.2333333333333338,1.434232681203416,True
1.2666666666666673,1.1260316704649658,True
1.3000000000000007,0.6656898888608271,True
1.3333333333333341,0.5503041920648103,True
1.3666666666666676,0.34027273357933835,True
1.400000000000001,0.4906468550812097,True
1.4333333333333345,0.7426299096284487,True
1.466666666666668,0.747683920566461,True
1.5000000000000013,0.850960259958155,True
1.5333333333333348,1.3459120438568548,True
1.5666666666666682,1.3185945059222641,True
1.6000000000000016,1.1006799707364043,True
1.633333333333335,1.0610513347458985,True
1.6666666666666685,1.2137224488178617,True
1.700000000000002,0.9601385052244911,True
1.7333333333333354,0.7893327700558938,True
1.7666666666666688,0.8197774510815247,True
1.8000000000000023,0.8968785673773157,True
1.8333333333333357,0.8965448857142947,True
1.8666666666666691,1.1203258225510524,True
1.9000000000000026,1.5558605427676986,True
1.933333333333336,1.7462985161033242,True
1.9666666666666694,1.8954115230829582,True
2.0000000000000027,1.7812069101484784,True
2.033333333333336,2.0106123765142674,False
2.066666666666669,2.1619234637253113,False
2.1000000000000023,2.1950257849348502,False
2.1333333333333355,2.011010700628281,False
2.1666666666666687,1.9317132017823826,True
2.200000000000002,1.7580271629376254,True
2.233333333333335,1.9018537675270073,True
2.2666666666666684,1.9856058025063978,True
2.3000000000000016,2.1544107769949177,False
2.333333333333335,2.541915839939016,False
2.366666666666668,2.749503629001046,False
2.4000000000000012,2.818186043017414,False
2.4333333333333345,2.880143981305226,False
2.4666666666666677,3.208675471790345,False
2.500000000000001,3.341582789429789,False
2.533333333333334,3.2290130510999755,False
2.5666666666666673,3.2267492426044937,False
2.6000000000000005,3.5309727842593976,False
2.6333333333333337,3.6221481722416584,False
2.666666666666667,3.5936613540979963,False
2.7,3.469007172295462,False
2.7333333333333334,3.582473960132824,False
2.7666666666666666,3.657261491112276,False
2.8,3.815006146511076,False
2.833333333333333,4.224176337946236,False
2.8666666666666663,4.4118316488192955,False
2.8999999999999995,4.580551539031828,False
2.9333333333333327,4.390192357813294,False
2.966666666666666,4.603858619277641,False
2.999999999999999,4.577628919149634,False
3.0333333333333323,4.382683869115188,False
3.0666666666666655,4.273349323472711,False
3.0999999999999988,4.22094229258662,False
3.133333333333332,4.229483319908068,False
3.166666666666665,4.047024252076489,False
3.1999999999999984,4.212287315223941,False
3.2333333333333316,4.471188392548065,False
3.266666666666665,4.454119812761149,False
3.299999999999998,4.2835772334407825,False
3.3333333333333313,4.281819304665206,False
3.3666666666666645,4.219309292623753,False
3.3999999999999977,4.154683045957429,False
3.433333333333331,4.108673355896005,False
3.466666666666664,4.175406114810677,False
3.4999999999999973,4.182758933433777,False
3.5333333333333306,4.148120157583209,False
3.5666666666666638,4.207785517463946,False
3.599999999999997,4.468535830738526,False
3.63333333333333,4.623344747438025,False
3.6666666666666634,4.681924600153461,False
3.6999999999999966,4.903419223827413,False
3.73333333333333,4.8041925784824615,False
3.766666666666663,4.507573380807795,False
3.7999999999999963,4.460409466087962,False
3.8333333333333295,4.468854060319335,False
3.8666666666666627,4.1683336973589915,False
3.899999999999996,4.1034718028667125,False
3.933333333333329,3.901418061435822,False
3.9666666666666623,3.868154320532676,False
3.9999999999999956,3.719813220085938,False
4.033333333333329,3.4977386473282097,False
4.066666666666662,3.421989087880594,False
4.099999999999995,3.34471325423982,False
4.133333333333328,3.117565686017693,False
4.166666666666662,2.994868426533688,False
4.199999999999995,3.099829004700527,False
4.233333333333328,3.221430655010302,False
4.266666666666661,3.182560458818725,False
4.2999999999999945,3.00752969771277,False
4.333333333333328,3.027302607173877,False
4.366666666666661,2.9208130158008023,False
4.399999999999994,2.7260501748291506,False
4.433333333333327,2.547383614235089,False
4.466666666666661,2.5807746896165353,False
4.499999999999994,2.519896811410521,False
4.533333333333327,2.29036607659091,False
4.56666666666666,2.2630043308022976,False
4.599999999999993,2.187624969554213,False
4.633333333333327,1.9136739781739176,True
4.66666666666666,1.8106790142345563,True
4.699999999999993,1.6364200397064057,True
4.733333333333326,1.6181819762678513,True
4.7666666666666595,1.504931306174432,True
4.799999999999993,1.3763760070403122,True
4.833333333333326,1.4834745176379358,True
4.866666666666659,1.4688005448924562,True
4.899999999999992,1.3678329549598391,True
4.933333333333326,1.3414141163253666,True
4.966666666666659,1.4043453810506465,True
4.999999999999992,1.0401271497186346,True
5.033333333333325,1.2624511806232983,True
5.066666666666658,1.179689944120899,True
5.099999999999992,0.9366959859865657,True
5.133333333333325,0.9886255313563995,True
5.166666666666658,0.8392463960330202,True
5.199999999999991,0.7976236891873223,True
5.2333333333333245,0.8678686977982085,True
5.266666666666658,0.8265614434895676,True
5.299999999999991,1.012509801456404,True
5.333333333333324,1.2693110095748086,True
5.366666666666657,1.127089343485774,True
5.399999999999991,1.468596191115054,True
5.433333333333324,1.5883062906514334,True
5.466666666666657,1.6493907818658826,True
5.49999999999999,1.9597868513427348,True
5.5333333333333234,2.213463618643318,False
5.566666666666657,2.243017382106094,False
5.59999999999999,2.169636554754077,False
5.633333333333323,2.3753760334676826,False
5.666666666666656,2.7108737480789076,False
5.6999999999999895,2.7519471349306484,False
5.733333333333323,2.8054623343106773,False
5.766666666666656,2.8550987582486513,False
5.799999999999989,2.9028665264473728,False
5.833333333333322,2.8409778327878543,False
5.866666666666656,2.8160404579570333,False
5.899999999999989,2.9456403492138237,False
5.933333333333322,2.9436209233416384,False
5.966666666666655,3.0215684191216194,False
5.9999999999999885,3.166855508695529,False
6.033333333333322,3.320872033651265,False
6.066666666666655,3.5948609465918953,False
6.099999999999988,3.709978200652177,False
6.133333333333321,3.7575476094061,False
6.1666666666666545,3.761407386910787,False
6.199999999999988,3.740958591652468,False
6.233333333333321,3.7462811765151884,False
6.266666666666654,3.8225228628744654,False
6.299999999999987,3.749020404115373,False
6.333333333333321,3.751730077739697,False
6.366666666666654,3.7407965642519763,False
6.399999999999987,3.9456627110581497,False
6.43333333333332,4.015680466090883,False
6.4666666666666535,4.005720025993421,False
6.499999999999987,4.219821675383272,False
6.53333333333332,4.3829394012610035,False
6.566666666666653,4.575986549565485,False
6.599999999999986,4.328935171945011,False
6.6333333333333195,4.3681665696624785,False
6.666666666666653,4.259075405203655,False
6.699999999999986,4.098151377943534,False
6.733333333333319,4.012936959091081,False
6.766666666666652,3.9450072143518993,False
6.799999999999986,3.9359983691699174,False
6.833333333333319,3.8405156640833273,False
6.866666666666652,3.730926426238191,False
6.899999999999985,3.8163360965762885,False
6.9333333333333185,3.8351796876642603,False
6.966666666666652,3.946700273572903,False
6.999999999999985,4.022722957527163,False
7.033333333333318,4.138795362444926,False
7.066666666666651,4.299912084364478,False
7.0999999999999845,4.403534440648677,False
7.133333333333318,4.491954321259504,False
7.166666666666651,4.554813032048888,False
7.199999999999984,4.476005288211155,False
7.233333333333317,4.081286713598065,False
7.266666666666651,3.9472447025700066,False
7.299999999999984,3.7617412416350233,False
7.333333333333317,3.45404292063603,False
7.36666666666665,3.2005488974854464,False
7.3999999999999835,3.125920796235012,False
7.433333333333317,3.2090997293753163,False
7.46666666666665,3.0987094547225795,False
7.499999999999983,3.096462093449932,False
7.533333333333316,3.1097558278003805,False
7.5666666666666496,3.2252279822177727,False
7.599999999999983,3.0431113724427212,False
7.633333333333316,3.145614198393354,False
7.666666666666649,3.276516977672488,False
7.699999999999982,3.220347435276077,False
7.733333333333316,3.1433285566788736,False
7.766666666666649,3.075173457008682,False
7.799999999999982,2.8729954506337325,False
7.833333333333315,2.6145234032488354,False
7.8666666666666485,2.3593603604538615,False
7.899999999999982,2.1724885840859978,False
7.933333333333315,1.8520503982167638,True
7.966666666666648,1.5720702875132084,True
7.999999999999981,1.581804146422999,True
8.033333333333315,1.5324656246056538,True
8.066666666666649,1.8082428296770836,True
8.099999999999982,2.045369614842977,False
8.133333333333315,2.1777684992193977,False
8.166666666666648,2.388251948582589,False
8.199999999999982,2.533037239806919,False
8.233333333333315,2.434537080926474,False
8.266666666666648,2.220719022060569,False
8.299999999999981,2.027062869336095,False
8.333333333333314,1.649444063541285,True
8.366666666666648,1.7945374694949172,True
